,ID,Fuel Type Code,Access Code,Geocode Status,Latitude,Longitude,City,State
6904,62113,HY,public,200-8,42.220042,-71.038729,Braintree,MA
10960,81818,HY,public,200-9,40.69261,-73.631777,Hempstead,NY
13258,88094,HY,public,200-9,41.845594,-71.412407,Providence,RI
14758,97043,HY,public,200-9,41.787405,-72.655723,Hartford,CT
14759,97044,HY,public,200-9,42.032707,-71.236044,Mansfield,MA
