,ID,Fuel Type Code,Access Code,Geocode Status,Latitude,Longitude,City,State,LPG Nozzle Types
8745,69668,LPG,public,200-8,39.971312,-76.751712,York,PA,"[""QUICK_CONNECT"", ""ACME""]"
9092,71449,LPG,public,200-9,41.915052,-71.403448,Cumberland,RI,"[""QUICK_CONNECT"", ""ACME""]"
9093,71450,LPG,public,200-9,41.505057,-71.317173,Newport,RI,"[""QUICK_CONNECT"", ""ACME""]"
9601,74244,LPG,public,200-9,41.02487,-74.769287,Newton,NJ,"[""ACME"", ""QUICK_CONNECT""]"
9612,74322,LPG,public,200-9,41.406694,-73.429441,Danbury,CT,"[""ACME""]"
9711,75105,LPG,public,200-9,42.020413,-79.634017,Clymer,NY,"[""ACME"", ""QUICK_CONNECT""]"
9761,75475,LPG,public,200-9,40.806551,-72.947099,Bellport,NY,"[""ACME""]"
10699,80882,LPG,public,200-9,40.091707,-75.346157,King of Prussia,PA,"[""QUICK_CONNECT""]"
10700,80883,LPG,public,GPS,39.866244,-75.311718,Essington,PA,"[""QUICK_CONNECT""]"
10961,81820,LPG,public,200-9,41.543491,-73.040843,Waterbury,CT,"[""ACME"", ""QUICK_CONNECT""]"
10962,81821,LPG,public,200-8,41.409536,-73.403539,Danbury,CT,"[""ACME"", ""QUICK_CONNECT""]"
13719,91941,LPG,public,200-9,42.100921,-72.616174,West Springfield,MA,"[""QUICK_CONNECT"", ""ACME""]"
15998,103196,LPG,public,GPS,42.1031455784432,-75.9985083263893,Vestal,NY,"[""ACME"", ""QUICK_CONNECT""]"
21929,122852,LPG,private,200-9,41.056188,-80.045608,Slippery Rock,PA,"[""QUICK_CONNECT""]"
27203,150012,LPG,public,200-9,40.619029,-74.750997,Whitehouse,NJ,"[""ACME"", ""QUICK_CONNECT""]"
28968,153669,LPG,public,GPS,41.088596,-73.949068,West Nyack,NY,"[""ACME"", ""QUICK_CONNECT""]"
49828,185129,LPG,public,200-8,41.789022,-72.661288,Hartford,CT,"[""QUICK_CONNECT""]"
59780,202070,LPG,public,GPS,40.22537179596966,-75.05523178042603,Ivyland,PA,"[""ACME"", ""QUICK_CONNECT""]"
64532,212252,LPG,public,200-9,41.641505,-74.640756,Monticello,NY,"[""ACME"", ""QUICK_CONNECT""]"
65372,213657,LPG,public,200-9,40.861799,-79.967283,Butler,PA,"[""ACME""]"
