,ID,Fuel Type Code,Access Code,Geocode Status,Latitude,Longitude,City,State,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Connector Types,EV Pricing,CNG Dispenser Num,LPG Nozzle Types
19235,115434,ELEC,public,200-9,40.614533,-75.360105,Bethlehem,PA,,3.0,,TESLA,Free,,
19236,115435,ELEC,public,200-9,41.029135,-76.429602,Bloomsburg,PA,,6.0,,J1772 TESLA,Free,,
19237,115436,ELEC,public,200-9,41.025138,-76.426501,Bloomsburg,PA,,3.0,,J1772 TESLA,Free,,
19238,115437,ELEC,public,200-9,40.181098,-75.277712,Blue Bell,PA,,3.0,,J1772 TESLA,Free,,
19239,115438,ELEC,public,200-9,40.333504,-75.64003,Boyertown,PA,,6.0,,J1772 TESLA,Free,,
19240,115439,ELEC,public,200-9,40.198776,-77.18987,Carlisle,PA,,2.0,,J1772 TESLA,Free,,
19241,115440,ELEC,public,200-8,40.552281,-75.419135,Center Valley,PA,,4.0,,J1772 TESLA,Free,,
19242,115441,ELEC,public,200-9,39.846232,-75.631916,Chadds Ford,PA,,2.0,,J1772 TESLA,Free,,
19243,115442,ELEC,public,200-8,41.180584,-79.393409,Clarion,PA,,2.0,,TESLA,Free,,
19244,115443,ELEC,public,200-9,40.046562,-75.413709,Devon,PA,,3.0,,J1772 TESLA,Free,,
19245,115444,ELEC,public,200-9,40.127553,-75.407263,Eagleville,PA,,2.0,,J1772 TESLA,Free,,
19246,115445,ELEC,public,200-9,40.702547,-75.20758,Easton,PA,,2.0,,J1772 TESLA,Free,,
19247,115446,ELEC,public,200-9,40.187425,-76.190132,Ephrata,PA,,2.0,,J1772 TESLA,Free,,
19248,115447,ELEC,public,200-8,42.064621,-80.102,Erie,PA,,3.0,,J1772 TESLA,Free,,
19249,115448,ELEC,public,200-8,39.802122,-79.554244,Farmington,PA,,4.0,,J1772 TESLA,Free,,
19250,115449,ELEC,public,200-9,40.160212,-75.012596,Feasterville-Trevose,PA,,4.0,,J1772 TESLA,Free,,
19251,115450,ELEC,public,200-8,40.034027,-75.579333,Frazer,PA,,3.0,,J1772 TESLA,Free,,
19252,115451,ELEC,public,200-9,39.842125,-77.262079,Gettysburg,PA,,1.0,,TESLA,Free,,
19253,115452,ELEC,public,200-9,41.472258,-75.171415,Hawley,PA,,2.0,,J1772 TESLA,Free,,
19254,115453,ELEC,public,200-9,41.481714,-75.183404,Hawley,PA,,2.0,,J1772 TESLA,Free,,
19255,115454,ELEC,public,GPS,41.471601,-75.172351,Hawley,PA,,2.0,,J1772 TESLA,Free,,
19256,115455,ELEC,public,200-9,40.297596,-76.690171,Hummelstown,PA,,3.0,,J1772 TESLA,Free,,
19257,115456,ELEC,public,200-9,40.334388,-76.668777,Hummelstown,PA,,2.0,,J1772 TESLA,Free,,
19258,115457,ELEC,public,GPS,40.611518,-79.160111,Indiana,PA,,2.0,,J1772 TESLA,Free,,
19259,115458,ELEC,public,200-9,40.86291,-75.739478,Jim Thorpe,PA,,2.0,,J1772 TESLA,Free,,
19260,115459,ELEC,public,200-8,39.860925,-75.685662,Kennett Square,PA,,3.0,,J1772 TESLA,Free,,
19261,115460,ELEC,public,GPS,41.02008425,-75.58740735,Lake Harmony,PA,,3.0,,J1772 TESLA,Free,,
