,category,model,model_year,manufacturer,fuel,all_electric_range,PHEV_total_range,alternative_fuel_economy_city,alternative_fuel_economy_highway,alternative_fuel_economy_combined,conventional_fuel_economy_city,conventional_fuel_economy_highway,conventional_fuel_economy_combined
365,SUV,X3 xDrive30e,2021,BMW,Plug-in Hybrid Electric,18.0,,,,60.0,21.0,27.0,24.0
366,SUV,X5 sDrive40i 2WD,2021,BMW,Hybrid Electric,,,,,,21.0,26.0,23.0
367,SUV,X5 sDrive40i 4WD,2021,BMW,Hybrid Electric,,,,,,21.0,25.0,23.0
368,SUV,X5 xDrive45e,2021,BMW,Plug-in Hybrid Electric,31.0,,,,50.0,19.0,22.0,20.0
369,SUV,X6 sDrive40i 2WD,2021,BMW,Hybrid Electric,,,,,,21.0,26.0,23.0
370,SUV,X6 sDrive40i 4WD,2021,BMW,Hybrid Electric,,,,,,21.0,25.0,23.0
371,SUV,X7 sDrive40i 4WD,2021,BMW,Hybrid Electric,,,,,,19.0,24.0,21.0
372,SUV,Escalade 2WD,2021,Cadillac,Biodiesel (B20),,,,,,21.0,27.0,23.0
373,SUV,Escalade 4WD,2021,Cadillac,Biodiesel (B20),,,,,,20.0,26.0,22.0
374,Sedan/Wagon,Bolt EV,2021,Chevrolet,Electric,259.0,,127.0,108.0,118.0,,,
375,Pickup,Colorado 2WD,2021,Chevrolet,Biodiesel (B20),,,,,,20.0,30.0,23.0
376,Pickup,Colorado 4WD,2021,Chevrolet,Biodiesel (B20),,,,,,19.0,28.0,22.0
377,Pickup,Colorado ZR2 4WD,2021,Chevrolet,Biodiesel (B20),,,,,,18.0,22.0,19.0
378,Pickup,Silverado 2WD,2021,Chevrolet,Biodiesel (B20),,,,,,23.0,33.0,27.0
379,Pickup,Silverado 2WD,2021,Chevrolet,Ethanol (E85),,,11.0,15.0,12.0,15.0,19.0,16.0
380,Pickup,Silverado 4WD,2021,Chevrolet,Biodiesel (B20),,,,,,22.0,26.0,24.0
381,Pickup,Silverado 4WD,2021,Chevrolet,Ethanol (E85),,,11.0,13.0,12.0,14.0,18.0,16.0
382,SUV,Suburban 2WD,2021,Chevrolet,Biodiesel (B20),,,,,,21.0,27.0,23.0
383,SUV,Suburban 4WD,2021,Chevrolet,Biodiesel (B20),,,,,,20.0,26.0,22.0
384,SUV,Tahoe 2WD,2021,Chevrolet,Biodiesel (B20),,,,,,21.0,28.0,24.0
385,SUV,Tahoe 4WD,2021,Chevrolet,Biodiesel (B20),,,,,,20.0,26.0,22.0
386,Van,Pacifica Hybrid,2021,Chrysler,Plug-in Hybrid Electric,32.0,,,,82.0,29.0,30.0,30.0
387,Sedan/Wagon,SF90 Stradale Coupe,2021,Ferrari,Plug-in Hybrid Electric,8.0,,,,51.0,16.0,20.0,18.0
388,Sedan/Wagon,Escape AWD HEV,2021,Ford,Hybrid Electric,,,,,,43.0,37.0,40.0
389,Sedan/Wagon,Escape FWD HEV,2021,Ford,Hybrid Electric,,,,,,44.0,37.0,41.0
390,SUV,Escape FWD PHEV,2021,Ford,Plug-in Hybrid Electric,37.0,,,,105.0,43.0,38.0,40.0
391,SUV,Explorer AWD FFV,2021,Ford,Ethanol (E85),,,11.0,15.0,13.0,16.0,23.0,19.0
392,SUV,Explorer HEV AWD,2021,Ford,Hybrid Electric,,,,,,23.0,26.0,25.0
393,SUV,Explorer HEV RWD,2021,Ford,Hybrid Electric,,,,,,27.0,28.0,27.0
394,Pickup,F-150 2WD,2021,Ford,Biodiesel (B20),,,,,,,,
395,Pickup,F-150 2WD FFV,2021,Ford,Ethanol (E85),,,14.0,19.0,16.0,20.0,24.0,21.0
