,station_id,acces_code,latitude,longitude,city,state,ev_level1_evse_num,ev_level2_evse_num,ev_dc_fast_count,ev_connector_types,ev_pricing
18161,114317,public,42.36293,-71.128439,Allston,MA,0,2,-1,J1772 TESLA,Free
18162,114318,public,42.847566,-70.90827,Amesbury,MA,0,2,-1,J1772 TESLA,Free
18163,114319,public,41.661139,-70.2803,Barnstable,MA,0,2,-1,J1772 TESLA,Free
18164,114320,public,42.348567,-71.077311,Boston,MA,0,2,-1,J1772 TESLA,Free
18165,114321,public,42.350937,-71.065558,Boston,MA,0,3,-1,J1772 TESLA,Free
18166,114322,public,42.352269,-71.068005,Boston,MA,0,2,-1,TESLA,Free
18167,114323,public,42.319148,-71.045934,Boston,MA,0,2,-1,J1772 TESLA,Free
18168,114324,public,42.360797,-71.056261,Boston,MA,0,3,-1,J1772 TESLA,Free
18169,114325,public,42.346202,-71.084527,Boston,MA,0,2,-1,J1772 TESLA,Free
18170,114326,public,42.349229,-71.079528,Boston,MA,0,1,-1,TESLA,Free
18171,114327,public,42.348687,-71.081645,Boston,MA,0,4,-1,TESLA,Free
18172,114328,public,42.348863,-71.064781,Boston,MA,0,2,-1,J1772 TESLA,Free
18173,114329,public,42.357362,-71.060688,Boston,MA,0,3,-1,J1772 TESLA,Free
18174,114330,public,41.761856,-70.083124,Brewster,MA,0,1,-1,TESLA,Free
18175,114332,public,42.172273,-72.579497,Chicopee,MA,0,2,-1,TESLA,Free
18176,114333,public,42.464494,-71.299243,Concord,MA,0,1,-1,TESLA,Free
18177,114334,public,41.393032,-70.506935,Edgartown,MA,0,1,-1,TESLA,Free
18178,114335,public,41.631265,-70.594347,Falmouth,MA,0,2,-1,TESLA,Free
18179,114336,public,41.555519,-70.62019,Falmouth,MA,0,2,-1,TESLA,Free
18180,114337,public,42.55585,-73.290972,Hancock,MA,0,4,-1,J1772 TESLA,Free
18181,114338,public,41.722628,-69.996093,Harwich,MA,0,3,-1,J1772 TESLA,Free
18182,114339,public,42.301083,-73.258542,Lee,MA,0,2,-1,J1772 TESLA,Free
18183,114340,public,42.304763,-73.221919,Lee,MA,0,2,-1,J1772 TESLA,Free
18184,114341,public,42.30095,-73.263943,Lee,MA,0,1,-1,TESLA,Free
