,ID,Fuel Type Code,Access Code,Geocode Status,Latitude,Longitude,City,State
13479,88748,E85,public,200-9,40.059175,-76.319553,Lancaster,PA
13480,88749,E85,public,200-9,39.74492,-77.086736,Littlestown,PA
13485,88755,E85,public,200-8,41.627108,-79.677597,Titusville,PA
13486,88756,E85,public,200-9,40.035662,-76.455877,Columbia,PA
13487,88757,E85,public,200-9,39.738797,-77.526705,Waynesboro,PA
13492,88763,E85,public,200-9,41.805065,-77.085059,Mansfield,PA
13493,88764,E85,public,200-9,41.77094,-76.414475,Towanda,PA
13494,88765,E85,public,200-9,40.313194,-76.585098,Palmyra,PA
13495,88766,E85,public,GPS,39.759815,-77.728004,Greencastle,PA
13496,88767,E85,public,200-7,39.9067,-77.646822,Chambersburg,PA
13498,88769,E85,public,200-9,41.407347,-80.3829,Greenville,PA
13499,88770,E85,public,200-9,40.040528,-76.207847,Lancaster,PA
13500,88771,E85,public,200-9,39.992285,-76.635399,York,PA
13561,89792,E85,public,200-8,40.021646,-79.077339,Somerset,PA
13565,89856,E85,public,200-9,40.007469,-79.070152,Somerset,PA
13566,89857,E85,public,200-9,40.665453,-79.014192,Clymer,PA
13567,89858,E85,public,200-9,40.326565,-78.951454,Johnstown,PA
13568,89859,E85,public,200-9,40.540482,-78.354084,Altoona,PA
13569,89860,E85,public,200-9,40.595946,-77.581249,Lewistown,PA
13570,89861,E85,public,200-9,40.000133,-78.23937,Breezewood,PA
13571,89862,E85,public,200-9,40.46749,-78.756472,Ebensburg,PA
13572,89863,E85,public,200-9,39.784602,-77.706773,Greencastle,PA
13573,89864,E85,public,200-9,40.409419,-77.01019,Duncannon,PA
13574,89866,E85,public,200-9,40.218637,-76.978749,Mechanicsburg,PA
13575,89867,E85,public,GPS,40.835127,-77.671455,Center Hall,PA
13576,89868,E85,public,200-9,40.660931,-78.781125,Northern Cambria,PA
13577,89869,E85,public,200-9,41.064327,-80.056349,Slippery Rock,PA
13578,89870,E85,public,200-9,39.812783,-79.025434,Meyersdale,PA
13579,89871,E85,public,200-9,40.555529,-79.75968,New Kensington,PA
13580,89872,E85,public,200-9,40.764931,-79.52695,Ford City,PA
13581,89873,E85,public,200-9,40.704383,-80.277904,Rochester,PA
13582,89874,E85,public,200-9,40.685793,-80.105918,Cranberry Township,PA
13583,89875,E85,public,200-9,41.082681,-78.783865,Dubois,PA
13584,89876,E85,public,200-9,41.329734,-80.413835,Transfer,PA
13585,89877,E85,public,200-9,40.541899,-79.798697,Cheswick,PA
13586,89878,E85,public,200-9,40.845463,-79.881751,Butler,PA
13587,89879,E85,public,200-9,40.190557,-77.241238,Carlisle,PA
13588,89880,E85,public,200-9,40.116298,-77.038721,Dillsburg,PA
13589,89881,E85,public,200-9,41.046164,-76.273785,Berwick,PA
13590,89882,E85,public,200-9,41.402371,-79.805752,Franklin,PA
13591,89883,E85,public,200-9,40.990032,-76.065145,Sugarloaf,PA
13592,89884,E85,public,200-9,40.784325,-77.831771,State College,PA
13593,89885,E85,public,200-8,40.55328,-80.112989,Sewickley,PA
13594,89886,E85,public,200-9,40.316335,-79.683558,North Huntingdon,PA
13595,89887,E85,public,200-9,40.350982,-80.022741,Bethel Park,PA
13596,89889,E85,public,200-9,40.816607,-79.927201,Butler,PA
13597,89890,E85,public,GPS,40.2782315,-78.845044,Johnstown,PA
13598,89891,E85,public,200-8,41.013456,-80.397823,New Castle,PA
13599,89892,E85,public,200-9,39.799102,-77.199265,Gettysburg,PA
13600,89893,E85,public,200-8,40.434674,-79.73307,Monroeville,PA
