,ID,Fuel Type Code,Access Code,Geocode Status,Latitude,Longitude,City,State,CNG Dispenser Num
6079,53633,CNG,public,200-9,42.102397,-75.839707,Kirkwood,NY,3
6139,53766,CNG,public,200-8,40.860729,-75.27151,Pen Argyl,PA,1
6368,60157,CNG,public,200-9,42.922551,-78.628437,Lancaster,NY,2
6370,60167,CNG,private,200-9,39.811305,-74.96135,Lindenwold,NJ,-1
6396,60265,CNG,public,200-8,40.191991,-74.794534,Fallsington,PA,2
6402,60271,CNG,public,200-9,40.841918,-73.69519,Port Washington,NY,2
6483,60682,CNG,public,200-9,40.387923,-74.085991,Middletown,NJ,2
6484,60683,CNG,private,200-9,40.387923,-74.085991,Middletown,NJ,-1
6485,60684,CNG,public,GPS,40.247319,-74.24322,Freehold,NJ,4
6486,60685,CNG,public,200-9,39.989815,-74.258336,Toms River,NJ,2
6525,60840,CNG,private,200-9,41.116716,-74.120396,Suffern,NY,-1
6526,60841,CNG,public,200-9,41.554634,-72.107836,Norwich,CT,2
6784,61681,CNG,public,200-9,41.3634,-75.730103,Old Forge,PA,2
6824,61897,CNG,public,200-9,40.676438,-74.248373,Union,NJ,2
6966,62443,CNG,public,200-8,41.294864,-72.899122,New Haven,CT,2
6967,62444,CNG,private,200-8,41.294864,-72.899122,New Haven,CT,-1
6976,62471,CNG,public,200-9,42.983441,-78.91425,Tonawanda,NY,2
7004,62556,CNG,private,200-9,42.155438,-76.860717,Elmira,NY,-1
7012,62572,CNG,private,200-8,42.064152,-80.019293,Erie,PA,-1
7036,62630,CNG,private,200-8,41.237004,-77.038235,Williamsport,PA,-1
7112,62906,CNG,public,GPS,40.4127142,-78.8372499,Johnstown,PA,2
7114,62908,CNG,public,GPS,40.45023131319861,-76.41577569444274,Fredericksburg,PA,2
7374,63674,CNG,public,GPS,40.77,-73.89,Flushing,NY,1
7470,63975,CNG,private,200-8,39.914001,-75.108896,Camden,NJ,-1
7471,63976,CNG,private,200-9,42.844172,-78.747585,Buffalo,NY,2
7473,63978,CNG,private,200-9,40.121713,-74.85754,Bristol,PA,-1
7474,63979,CNG,private,200-8,40.860903,-75.271609,Pen Argyl,PA,-1
7475,63980,CNG,private,200-8,40.208133,-80.273462,Washington,PA,-1
7487,63995,CNG,private,200-9,39.989815,-74.258336,Toms River,NJ,-1
7498,64022,CNG,private,200-6,40.156395,-75.136383,Willow Grove,PA,-1
7502,64027,CNG,public,200-9,40.206139,-79.56679,Hunker,PA,3
7505,64057,CNG,public,200-9,40.055995,-76.327723,Lancaster,PA,4
7506,64058,CNG,private,200-9,40.055995,-76.327723,Lancaster,PA,-1
7536,64204,CNG,public,200-8,41.315531,-75.753889,Pittston,PA,2
7637,64522,CNG,public,GPS,40.7249569,-76.3171771,Pottsville,PA,1
7649,64694,CNG,public,200-9,42.938929,-78.823213,Buffalo,NY,2
7802,65389,CNG,private,200-9,42.939601,-78.630991,Lancaster,NY,3
7803,65392,CNG,public,200-8,43.062221,-73.822235,Saratoga Springs,NY,2
7814,65418,CNG,public,200-9,40.744271,-75.218923,Easton,PA,2
7821,65441,CNG,private,200-9,39.922603,-75.430899,Media,PA,2
7840,65538,CNG,public,200-9,40.838387,-77.787831,Bellefonte,PA,1
7845,65547,CNG,public,200-9,39.821725,-75.240765,Paulsboro,NJ,2
8008,66255,CNG,private,200-8,40.180626,-79.8531,Donora,PA,-1
8079,66465,CNG,public,200-9,41.125042,-78.765941,Dubois,PA,2
8213,67057,CNG,public,200-9,40.494173,-80.267199,Pittsburgh,PA,3
8229,67118,CNG,public,200-9,39.974852,-76.723959,York,PA,1
8394,67844,CNG,public,200-9,40.23601,-77.122908,Carlisle,PA,4
8564,68608,CNG,public,200-9,42.128286,-79.239695,Jamestown,NY,1
